CoC Number,CoC Name,CoC Category,"Overall Homeless, 2020","Overall Homeless - Under 18, 2020","Overall Homeless - Age 18 to 24, 2020","Overall Homeless - Over 24, 2020","Overall Homeless - Female, 2020","Overall Homeless - Male, 2020","Overall Homeless - Transgender, 2020","Overall Homeless - Gender Non-Conforming, 2020","Overall Homeless - Non-Hispanic/Non-Latino, 2020","Overall Homeless - Hispanic/Latino, 2020","Overall Homeless - White, 2020","Overall Homeless - Black or African American, 2020","Overall Homeless - Asian, 2020","Overall Homeless - American Indian or Alaska Native, 2020","Overall Homeless - Native Hawaiian or Other Pacific Islander, 2020","Overall Homeless - Multiple Races, 2020","Sheltered Total Homeless, 2020","Unsheltered Homeless, 2020","Overall Homeless Individuals, 2020","Overall Homeless People in Families, 2020","Overall Chronically Homeless, 2020","Sheltered Total Chronically Homeless, 2020","Unsheltered Chronically Homeless, 2020","Overall Homeless Veterans, 2020"
CA-512,Daly/San Mateo County CoC,Largely Suburban CoC,"1,572",255,55,"1,262",525,"1,044",3,0,968,604,"1,081",212,32,89,45,113,671,901,"1,132",440,363,111,252,66
CA-513,"Visalia/Kings, Tulare Counties CoC",Largely Suburban CoC,"1,297",121,76,"1,100",539,755,2,1,714,583,"1,061",111,10,80,14,21,360,937,"1,105",192,529,10,519,75
CA-514,Fresno City & County/Madera County CoC,Major City CoC,"3,641",351,162,"3,128","1,285","2,330",14,12,"1,743","1,898","2,146",669,64,347,37,378,960,"2,681","3,094",547,645,145,500,377
CA-515,"Roseville, Rocklin/Placer County CoC",Largely Suburban CoC,744,82,38,624,261,478,4,1,641,103,597,63,9,35,3,37,339,405,613,131,276,90,186,73
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Largely Rural CoC,"1,529",152,136,"1,241",566,952,6,5,"1,354",175,"1,139",52,14,185,16,123,506,"1,023","1,234",295,430,54,376,129
CA-517,Napa City & County CoC,Other Largely Urban CoC,464,15,54,395,130,332,2,0,378,86,350,18,6,31,11,48,161,303,442,22,202,54,148,60
CA-518,Vallejo/Solano County CoC,Largely Suburban CoC,"1,162",49,212,901,309,851,2,0,988,174,470,414,20,36,59,163,230,932,"1,087",75,232,91,141,135
CA-519,"Chico, Paradise/Butte County CoC",Largely Rural CoC,"1,274",108,81,"1,085",465,803,3,3,"1,104",170,"1,020",75,6,80,10,83,436,838,"1,104",170,278,95,183,86
CA-520,Merced City & County CoC,Largely Suburban CoC,636,69,23,544,223,413,0,0,379,257,372,57,74,22,4,107,323,313,527,109,194,49,145,10
CA-521,"Davis, Woodland/Yolo County CoC",Largely Suburban CoC,641,72,39,530,220,417,3,1,450,191,467,100,1,23,9,41,244,397,529,112,175,40,135,40
CA-522,Humboldt County CoC,Largely Rural CoC,"1,701",74,80,"1,547",266,"1,430",1,4,"1,621",80,"1,492",42,5,146,12,4,299,"1,402","1,585",116,523,127,396,58
CA-523,"Colusa, Glenn, Trinity Counties CoC",Largely Rural CoC,261,61,13,187,121,140,0,0,236,25,236,1,1,22,1,0,111,150,163,98,44,2,42,18
CA-524,Yuba City & County/Sutter County CoC,Largely Suburban CoC,721,95,23,603,318,398,4,1,611,110,558,47,9,43,6,58,202,519,558,163,231,34,197,37
CA-525,El Dorado County CoC,Largely Suburban CoC,663,87,99,477,246,404,6,7,492,171,603,35,2,8,1,14,183,480,525,138,107,2,105,46
CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Largely Rural CoC,834,84,72,678,336,498,0,0,768,66,729,10,5,51,3,36,147,687,685,149,252,9,243,63
CA-527,Tehama County CoC,Largely Rural CoC,300,37,23,240,120,180,0,0,249,51,257,10,1,19,1,12,85,215,240,60,124,14,110,16
CA-529,Lake County CoC,Largely Rural CoC,357,10,13,334,138,219,0,0,327,30,296,13,2,0,0,46,21,336,337,20,54,3,51,55
CA-530,"Alpine, Inyo, Mono Counties CoC",Largely Rural CoC,184,17,27,140,64,120,0,0,147,37,163,1,1,14,1,4,22,162,155,29,31,0,31,16
CA-531,Nevada County CoC,Largely Rural CoC,387,13,30,344,116,269,0,2,355,32,341,3,0,17,4,22,136,251,359,28,112,24,88,33
CA-600,Los Angeles City & County CoC,Major City CoC,"63,706","7,491","4,181","52,034","20,300","42,387",842,177,"40,701","23,005","29,236","28,998","1,168","1,449",397,"2,458","17,616","46,090","51,290","12,416","24,482","2,425","22,057","3,681"
CA-601,San Diego City and County CoC,Major City CoC,"7,638",784,554,"6,300","2,435","5,136",19,48,"5,443","2,195","5,057","1,904",115,157,102,303,"3,667","3,971","6,422","1,216","1,519",854,665,940
CA-602,"Santa Ana, Anaheim/Orange County CoC",Largely Suburban CoC,"6,978",933,280,"5,765","2,555","4,408",8,7,"4,423","2,555","5,094",767,224,201,114,578,"3,017","3,961","5,499","1,479","2,810",853,"1,957",342
CA-603,Santa Maria/Santa Barbara County CoC,Largely Suburban CoC,"1,897",192,102,"1,603",699,"1,193",3,2,"1,178",719,"1,582",126,16,92,15,66,674,"1,223","1,582",315,620,193,427,210
CA-604,Bakersfield/Kern County CoC,Other Largely Urban CoC,"1,580",142,89,"1,349",482,"1,090",7,1,"1,024",556,"1,131",277,9,63,8,92,576,"1,004","1,360",220,4,0,4,108
CA-606,Long Beach CoC,Major City CoC,"2,034",165,65,"1,804",588,"1,422",5,19,"1,380",654,992,804,73,37,60,68,452,"1,582","1,771",263,694,99,595,175
CA-607,Pasadena CoC,Other Largely Urban CoC,527,42,25,460,172,351,3,1,333,194,294,193,11,10,1,18,233,294,454,73,275,119,156,38
CA-608,Riverside City & County CoC,Largely Suburban CoC,"2,884",170,349,"2,365",961,"1,913",3,7,"1,847","1,037","2,031",624,38,91,28,72,729,"2,155","2,643",241,"1,007",129,878,233
CA-609,San Bernardino City & County CoC,Largely Suburban CoC,"3,125",267,212,"2,646","1,057","2,049",4,15,"2,091","1,034","1,784",741,24,74,20,482,735,"2,390","2,744",381,760,61,699,234
CA-611,"Oxnard, San Buenaventura/Ventura County CoC",Other Largely Urban CoC,"1,787",130,104,"1,553",568,"1,207",6,6,741,"1,046","1,380",115,25,44,10,213,522,"1,265","1,574",213,429,84,345,117
CA-612,Glendale CoC,Other Largely Urban CoC,169,42,7,120,69,99,1,0,95,74,116,24,4,8,1,16,94,75,104,65,38,14,24,8
CA-613,Imperial County CoC,Largely Suburban CoC,"1,527",92,154,"1,281",414,"1,085",0,28,"1,120",407,"1,405",61,11,42,8,0,193,"1,334","1,364",163,750,20,730,112
CA-614,San Luis Obispo County CoC,Largely Suburban CoC,"1,423",127,163,"1,133",445,977,1,0,"1,015",408,"1,014",95,13,51,19,231,251,"1,172","1,240",183,331,82,249,145
CO-500,Colorado Balance of State CoC,Largely Rural CoC,"1,638",160,163,"1,315",491,"1,134",8,5,"1,312",326,"1,282",95,4,120,17,120,840,798,"1,385",253,579,167,412,191
CO-503,Metropolitan Denver CoC,Major City CoC,"6,104",853,394,"4,857","1,952","4,087",38,27,"4,622","1,482","3,612","1,417",37,339,92,607,"4,543","1,561","4,658","1,446","1,867",921,946,627
CO-504,Colorado Springs/El Paso County CoC,Major City CoC,"1,339",243,120,976,481,853,5,0,"1,102",237,881,268,6,44,8,132,981,358,945,394,284,142,142,157
